Column1;exporter;importer;secgroup;product;v2020;v2018;v2019
2136264;CIV;AFR;CAT;TT;2925.36002347005;2946.13589721521;3003.6663264719
2136648;CIV;AFS;CAT;TT;2761.41725874672;2795.72458421004;2824.45605726808
2137032;CIV;AFZ;CAT;TT;1809.2117798247;1744.801905;1879.521512
2137416;CIV;ALB;CAT;TT;0.0301618478677072;0.100754;0.031334
2137800;CIV;AMA;CAT;TT;35.290030043847;7.398497;36.661474
2138184;CIV;AME;CAT;TT;1239.70221404731;1672.22902092697;1486.76063673933
2138568;CIV;AMN;CAT;TT;1058.72558207332;1547.60947528293;1277.65305699137
2138952;CIV;AMS;CAT;TT;180.97663197399;124.619545644038;209.107579747957
2139336;CIV;ANE;CAT;TT;542.025226866149;277.513465196497;477.464259359003
2139720;CIV;AOA;CAT;TT;1.92014805352711;0.145207;1.994769
2140104;CIV;AOZ;CAT;TT;0.777323588827004;0.591648;0.807532
2140488;CIV;APEC;CAT;TT;3517.7313743569;3597.02102379072;3478.22641515899
2140872;CIV;ARG;CAT;TT;0.937681517957335;3.14961991896954;0.965548
2141256;CIV;ASEA;CAT;TT;1592.56325523693;1599.85074438594;1549.96789716418
2141640;CIV;ASO;CAT;TT;2893.7674903016;2554.54527046507;2703.32357703059
2142024;CIV;ASS;CAT;TT;628.524283006562;670.250833481488;667.175356649224
2142408;CIV;AUS;CAT;TT;128.576630032543;6.84588176494302;8.43710530105766
2142792;CIV;AUT;CAT;TT;49.7051781076261;45.7266620120421;43.2149175816852
2143176;CIV;BAL;CAT;TT;172.379407347994;132.083541451197;178.559572868085
2143560;CIV;BEL;CAT;TT;179.734722302453;153.029768681833;203.713869425839
2143944;CIV;BGD;CAT;TT;117.639331504701;88.6527436779186;122.339356427837
2144328;CIV;BGR;CAT;TT;39.0724847328938;32.2343978331605;39.6651604150052
2144712;CIV;BIH;CAT;TT;0.479648289859708;1.0769581865376;0.711393590385909
2145096;CIV;BLR;CAT;TT;21.7477030363908;25.2298958108868;24.1136841341191
2145480;CIV;BLX;CAT;TT;213.990522821042;155.32482838395;243.605775899779
2145864;CIV;BOL;CAT;TT;3.62685334453652e-05;8.85769580231827e-07;0.0009735128769751
2146248;CIV;BRA;CAT;TT;130.79481288882;101.666389;162.708878
2146632;CIV;BRIC;CAT;TT;848.836177096196;516.273226415038;785.15829515914
2147016;CIV;BRN;CAT;TT;0.0003502454491039;0.006946;0.0
2147400;CIV;CAL;CAT;TT;0.0013158628338276;0.131815;0.001367
2147784;CIV;CAN;CAT;TT;251.900325;352.767746;411.962132
2148168;CIV;CAU;CAT;TT;0.650218884939446;0.878614867965404;2.74072838946832
2148552;CIV;CEA;CAT;TT;5.775550111899e-05;0.0;6e-05
2148936;CIV;CEI;CAT;TT;287.131773526645;234.985042050804;263.792579857923
2149320;CIV;CHE;CAT;TT;776.4960568203;426.266614365408;559.01838750761
2149704;CIV;CHL;CAT;TT;1.58932551914827;4.65710486325909;2.02560888439061
2150088;CIV;CHN;CAT;TT;526.149039695486;256.46590080211;460.3959422998
2150472;CIV;CIV;CAT;TT;0.0;0.0;0.0
2150856;CIV;CMR;CAT;TT;78.5308109930876;88.4663123076298;82.5089489233935
2151240;CIV;COL;CAT;TT;5.53485549297536;4.75552240015298;2.84198242822944
2151624;CIV;CSK;CAT;TT;46.9050666510559;51.0816889525888;47.3828029670226
2152008;CIV;CYP;CAT;TT;0.818339472503353;0.580036198529231;1.60985199312823
2152392;CIV;CZE;CAT;TT;25.909226593608;18.9067993303083;23.5698459056367
2152776;CIV;DEU;CAT;TT;352.959401248225;819.183890192396;596.348626030926
2153160;CIV;DEV;CAT;TT;5436.90450988724;6146.46496142992;5815.76556523324
2153544;CIV;DNK;CAT;TT;0.938442436705251;0.979699963776649;0.707272041629996
2153928;CIV;DZA;CAT;TT;72.5383278748348;73.3964548352865;76.0898821623447
2154312;CIV;E15;CAT;TT;3488.70080702598;4191.81869102252;3916.1157752462
2154696;CIV;E28;CAT;TT;3987.23139639466;4575.51016116487;4419.04738919866
2155080;CIV;ECU;CAT;TT;5.55768380625646;0.274885988175328;3.26082633760979
2155464;CIV;EGY;CAT;TT;7.49150526367249;6.43421396086319;6.70624537397233
2155848;CIV;EM1;CAT;TT;2490.89701183604;2301.67914998133;2320.83827395193
2156232;CIV;ENM;CAT;TT;547.417428003798;428.838095955865;544.536679541027
2156616;CIV;ESP;CAT;TT;363.631472901626;363.467459800666;419.25416567023
2157000;CIV;EST;CAT;TT;169.53750791667;114.360673497877;175.848381248527
2157384;CIV;EUA;CAT;TT;1505.0098316934;889.286396092522;1146.37056640843
2157768;CIV;EUC;CAT;TT;5434.71758284279;5454.32758766114;5576.60000821099
2158152;CIV;EUR;CAT;TT;3402.27003456101;4123.61701790655;3934.19377668893
2158536;CIV;FIN;CAT;TT;0.6515290375801;0.83552480106846;0.817045842255735
2158920;CIV;FRA;CAT;TT;716.342142044913;810.046482282705;886.182796583285
2159304;CIV;G20;CAT;TT;7382.95922921312;7964.03393285647;7752.93129085436
2159688;CIV;G8;CAT;TT;2619.94221527157;3524.76240109679;3129.50417402679
2160072;CIV;GAB;CAT;TT;24.4348640685238;22.5232033924422;25.7179490816105
2160456;CIV;GBR;CAT;TT;344.655418771911;245.454011647056;252.610527254024
2160840;CIV;GLF;CAT;TT;48.8685391737946;40.4896140138686;47.860966680285
2161224;CIV;GOA;CAT;TT;43.2285718022365;39.834455;44.908524
2161608;CIV;GRC;CAT;TT;2.52921923216986;3.62451924689641;2.77943398855616
2161992;CIV;HKG;CAT;TT;0.544039979479144;0.455680254142446;0.7074305584477
2162376;CIV;HRV;CAT;TT;2.71010764572861;1.79881251338173;2.83040280121218
2162760;CIV;HUN;CAT;TT;12.1332523344923;1.70255668946142;5.53410102587676
2163144;CIV;IDN;CAT;TT;175.567425853348;218.607584845942;180.781608334315
2163528;CIV;IND;CAT;TT;473.468042747075;565.856583464025;513.117352073643
2163912;CIV;IRL;CAT;TT;20.13704805148;16.4873938355942;16.7168753702504
2164296;CIV;ISL;CAT;TT;2.3323017980745;2.03250075522712;2.09116229260831
2164680;CIV;ISR;CAT;TT;0.505310583872814;12.9309435552083;12.2960524604089
2165064;CIV;ITA;CAT;TT;244.222342014017;239.846050844622;201.127818982736
2165448;CIV;JPN;CAT;TT;8.90630910575035;13.6729176951083;10.1230023192905
2165832;CIV;KAZ;CAT;TT;1.26724366303914;2.87839775902403;2.47927947499563
2166216;CIV;KEN;CAT;TT;1.06258969617562;1.26566287254752;1.16133694588081
2166600;CIV;KGZ;CAT;TT;0.0004091014662595;0.0;0.000425
2166984;CIV;KOR;CAT;TT;4.82939133149829;6.62144178576202;5.0720585713668
2167368;CIV;LBY;CAT;TT;0.095839478556852;0.005364;0.099564
2167752;CIV;LKA;CAT;TT;4.91845950839133;0.594905806082755;5.14200296033995
2168136;CIV;LTU;CAT;TT;1.99085446839502;17.2515457448633;1.69992428599056
2168520;CIV;LUX;CAT;TT;34.2558005185892;2.29505970211742;39.8919064739407
2168904;CIV;LVA;CAT;TT;0.851044962928581;0.471322208456291;1.0112673335676
2169288;CIV;MAR;CAT;TT;13.6531987741228;10.7390211541825;14.2173292898456
2169672;CIV;MED;CAT;TT;1889.22830951604;1753.31223782779;1971.91440450314
2170056;CIV;MENA;CAT;TT;163.942764723332;150.41131300517;179.210269203827
2170440;CIV;MERC;CAT;TT;132.722450022894;105.082649458665;163.969293542325
2170824;CIV;MEX;CAT;TT;56.0678314711587;72.9628858632295;58.246744
2171208;CIV;MKD;CAT;TT;95.0292952718465;33.34163302841;91.870107686385
2171592;CIV;MLT;CAT;TT;50.7217888066563;0.34242983877338;52.6933780615293
2171976;CIV;MOA;CAT;TT;4.66271519115493;3.238062;4.843918
2172360;CIV;MYS;CAT;TT;780.902548289395;567.259382042437;733.27408671994
2172744;CIV;NGA;CAT;TT;171.575598492052;213.102594722044;172.751008049517
2173128;CIV;NLD;CAT;TT;1155.18559450212;1463.87714771941;1226.45615620616
2173512;CIV;NOR;CAT;TT;3.00348953989157;5.04202294718488;73.5528104115468
2173896;CIV;NRD;CAT;TT;7.33415683887268;9.03210881643475;77.4378247900697
2174280;CIV;NZL;CAT;TT;2.07844540486719;0.0912916361996734;0.278958557130104
2174664;CIV;OCN;CAT;TT;130.65507543741;6.93717340114269;8.71606385818777
2175048;CIV;OECD;CAT;TT;6142.27847748158;6721.2781590016;6411.27286473279
2175432;CIV;OPEC;CAT;TT;323.070852894019;349.792116951817;325.780196311367
2175816;CIV;PAK;CAT;TT;29.8006273585915;14.4027995334614;23.7743441874043
2176200;CIV;PED;CAT;TT;5129.01304999345;4646.59470316056;4951.91521579173
2176584;CIV;PER;CAT;TT;0.28225082033609;2.45088504801671;0.347421042525868
2176968;CIV;PHL;CAT;TT;0.505286787679206;0.287458710922414;0.457994174613423
2177352;CIV;PMA;CAT;TT;1927.62975078106;1834.17811167792;2002.66976742784
2177736;CIV;PMO;CAT;TT;54.0365649488223;56.6586195690769;65.0009371406939
2178120;CIV;POL;CAT;TT;147.855368904128;139.661811816446;144.321864667463
2178504;CIV;PRT;CAT;TT;23.3441018299487;26.8226599431532;26.024829592647
2178888;CIV;PRY;CAT;TT;0.0;0.000586;0.014503
2179272;CIV;RCEP;CAT;TT;2263.10307080707;1883.54817807007;2034.27496421282
2179656;CIV;ROM;CAT;TT;11.2786663875582;11.0126931155457;15.3449041968594
2180040;CIV;RUS;CAT;TT;191.89197426644;158.133990612928;162.05347485934
2180424;CIV;SAF;CAT;TT;432.076514610396;361.701094915381;408.767447267673
2180808;CIV;SAU;CAT;TT;5.63996737155809;0.655159013868608;2.95244268028499
2181192;CIV;SEM;CAT;TT;15.9126889236234;14.7612508779628;15.5058563890152
2181576;CIV;SGP;CAT;TT;16.6775309088877;5.74286156914183;7.50068340611542
2181960;CIV;SUN;CAT;TT;459.511180874639;367.068583502001;442.352152726008
2182344;CIV;SVK;CAT;TT;20.9958400574479;32.1748896222805;23.8129570613858
2182728;CIV;SVN;CAT;TT;14.6561070856655;13.193501733269;14.9895749562884
2183112;CIV;SWE;CAT;TT;0.408394026621254;0.142360349177649;0.269534202028838
2183496;CIV;THA;CAT;TT;4.85832661617217;5.41819280100296;4.42549665365903
2183880;CIV;TUN;CAT;TT;16.1273283833227;3.17763948576129;17.0963112369704
