,exporter,importer,secgroup,product,v2020
177864,AFR,DEU,CAT,TT,24193.6626499681
178248,AFR,DEV,CAT,TT,406355.08396407
178632,AFR,DNK,CAT,TT,838.548038670934
179016,AFR,DZA,CAT,TT,2342.96679559032
179400,AFR,E15,CAT,TT,163944.703991484
179784,AFR,E28,CAT,TT,178105.334382099
180168,AFR,ECU,CAT,TT,88.0607174059064
180552,AFR,EGY,CAT,TT,9989.22491284348
180936,AFR,EM1,CAT,TT,106819.517197309
181320,AFR,ENM,CAT,TT,15714.2690535674
181704,AFR,ESP,CAT,TT,25832.5036676462
182088,AFR,EST,CAT,TT,427.088364028106
182472,AFR,EUA,CAT,TT,71131.5991332202
182856,AFR,EUC,CAT,TT,238553.979403911
183240,AFR,EUR,CAT,TT,147047.246796045
183624,AFR,FIN,CAT,TT,437.216569442669
184008,AFR,FRA,CAT,TT,25067.2700445534
184392,AFR,G20,CAT,TT,657639.982039852
184776,AFR,G8,CAT,TT,196832.112996479
185160,AFR,GAB,CAT,TT,376.427664050766
185544,AFR,GBR,CAT,TT,18915.3231772616
185928,AFR,GLF,CAT,TT,101139.825409
186312,AFR,GOA,CAT,TT,81678.7082003942
186696,AFR,GRC,CAT,TT,5252.12301905663
187080,AFR,HKG,CAT,TT,9604.97830642192
187464,AFR,HRV,CAT,TT,178.173618795119
187848,AFR,HUN,CAT,TT,994.495558635226
188232,AFR,IDN,CAT,TT,8274.95438890877
188616,AFR,IND,CAT,TT,102095.236946745
189000,AFR,IRL,CAT,TT,671.381088488911
189384,AFR,ISL,CAT,TT,114.985498612308
189768,AFR,ISR,CAT,TT,942.428687347606
190152,AFR,ITA,CAT,TT,28612.0474382293
190536,AFR,JPN,CAT,TT,57071.2504334052
190920,AFR,KAZ,CAT,TT,469.477338546721
191304,AFR,KEN,CAT,TT,3543.35801673491
191688,AFR,KGZ,CAT,TT,49.6615637472116
192072,AFR,KOR,CAT,TT,46739.5800681033
192456,AFR,LBY,CAT,TT,2759.03513132597
192840,AFR,LKA,CAT,TT,1658.40749487224
193224,AFR,LTU,CAT,TT,384.060516280748
193608,AFR,LUX,CAT,TT,138.251114115001
193992,AFR,LVA,CAT,TT,111.375121461459
194376,AFR,MAR,CAT,TT,3150.86522480653
194760,AFR,MED,CAT,TT,144222.974862991
195144,AFR,MENA,CAT,TT,131628.374621937
195528,AFR,MERC,CAT,TT,11495.5150112591
195912,AFR,MEX,CAT,TT,1518.06538184637
196296,AFR,MKD,CAT,TT,257.182432824167
196680,AFR,MLT,CAT,TT,964.232067942259
197064,AFR,MOA,CAT,TT,8577.39152216018
197448,AFR,MYS,CAT,TT,11550.2058906671
197832,AFR,NGA,CAT,TT,3469.74757480089
198216,AFR,NLD,CAT,TT,17055.4456456665
198600,AFR,NOR,CAT,TT,1487.61879993958
198984,AFR,NRD,CAT,TT,4278.89056403646
199368,AFR,NZL,CAT,TT,1376.55606030875
199752,AFR,OCN,CAT,TT,6191.83223186932
200136,AFR,OECD,CAT,TT,400354.489009932
200520,AFR,OPEC,CAT,TT,110206.477046748
